상호,상표,구,셀프여부,휘발유,경유
이엠석유(주)배꽃나라주유소,GS칼텍스,노원구,Y,2009.0,1909.0
현대오일뱅크㈜직영 하계주유소,현대오일뱅크,노원구,N,2015.0,1925.0
월계주유소,GS칼텍스,노원구,Y,2015.0,1915.0
SK에너지㈜직영 상계주유소,SK에너지,노원구,N,2025.0,1965.0
남선석유(주)구도일주유소 불암,S-OIL,노원구,Y,2025.0,1965.0
노원주유소,GS칼텍스,노원구,N,2038.0,1949.0
상계동주유소,현대오일뱅크,노원구,N,2090.0,1990.0
하계삼호주유소,GS칼텍스,노원구,N,2095.0,1995.0
성북역주유소,GS칼텍스,노원구,N,2098.0,1998.0
(주)소모에너지 수락산셀프주유소,GS칼텍스,노원구,Y,2098.0,1998.0
신성주유소,S-OIL,노원구,Y,2098.0,1998.0
