※ 매월 말일자 통계 현황,,,,,,,
,,2022년02월,,,,,
행정기관코드,행정기관,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
4613083000,전라남도 여수시 묘도동,"1,147",610,          1.88,603,544,          1.11
4615000000,전라남도 순천시 ,"280,607","124,198",          2.26,"140,048","140,559",          1.00
4615025000,전라남도 순천시 승주읍,"2,632","1,532",          1.72,"1,302","1,330",          0.98
4615031000,전라남도 순천시 해룡면,"4,465","2,390",          1.87,"2,306","2,159",          1.07
4615031500,전라남도 순천시 해룡면상삼출장소,"17,985","7,367",          2.44,"8,902","9,083",          0.98
4615031600,전라남도 순천시 해룡면신대출장소,"33,096","11,411",          2.90,"16,818","16,278",          1.03
4615032000,전라남도 순천시 서면,"13,202","6,523",          2.02,"6,615","6,587",          1.00
4615033000,전라남도 순천시 황전면,"2,914","1,731",          1.68,"1,472","1,442",          1.02
4615034000,전라남도 순천시 월등면,"1,771","1,027",          1.72,847,924,          0.92
4615035000,전라남도 순천시 주암면,"3,083","1,884",          1.64,"1,547","1,536",          1.01
4615036000,전라남도 순천시 송광면,"1,465",884,          1.66,755,710,          1.06
4615037000,전라남도 순천시 외서면,843,525,          1.61,409,434,          0.94
4615038000,전라남도 순천시 낙안면,"3,180","1,754",          1.81,"1,549","1,631",          0.95
4615039000,전라남도 순천시 별량면,"5,466","2,961",          1.85,"2,736","2,730",          1.00
4615040000,전라남도 순천시 상사면,"2,861","1,494",          1.91,"1,462","1,399",          1.05
4615051500,전라남도 순천시 향동,"3,576","1,881",          1.90,"1,759","1,817",          0.97
4615054000,전라남도 순천시 매곡동,"6,765","3,443",          1.96,"3,345","3,420",          0.98
4615055000,전라남도 순천시 삼산동,"25,434","11,055",          2.30,"12,494","12,940",          0.97
4615056000,전라남도 순천시 조곡동,"6,109","2,900",          2.11,"3,070","3,039",          1.01
4615057000,전라남도 순천시 덕연동,"43,638","17,924",          2.43,"21,781","21,857",          1.00
4615058000,전라남도 순천시 풍덕동,"7,579","3,810",          1.99,"3,764","3,815",          0.99
4615059000,전라남도 순천시 남제동,"8,588","4,415",          1.95,"4,348","4,240",          1.03
4615060000,전라남도 순천시 저전동,"2,656","1,369",          1.94,"1,292","1,364",          0.95
4615061000,전라남도 순천시 장천동,"2,177","1,391",          1.57,"1,145","1,032",          1.11
4615062000,전라남도 순천시 중앙동,"2,917","1,626",          1.79,"1,487","1,430",          1.04
4615063500,전라남도 순천시 도사동,"18,251","7,798",          2.34,"9,207","9,044",          1.02
4615066100,전라남도 순천시 왕조1동,"40,782","17,529",          2.33,"20,178","20,604",          0.98
4615066500,전라남도 순천시 왕조2동,"19,172","7,574",          2.53,"9,458","9,714",          0.97
4617000000,전라남도 나주시 ,"116,749","59,526",          1.96,"58,896","57,853",          1.02
4617025000,전라남도 나주시 남평읍,"12,053","6,044",          1.99,"6,047","6,006",          1.01
4617031000,전라남도 나주시 세지면,"2,582","1,574",          1.64,"1,312","1,270",          1.03
4617032000,전라남도 나주시 왕곡면,"2,836","1,635",          1.73,"1,483","1,353",          1.10
4617033000,전라남도 나주시 반남면,"1,405",882,          1.59,701,704,          1.00
4617034000,전라남도 나주시 공산면,"2,245","1,347",          1.67,"1,145","1,100",          1.04
4617035000,전라남도 나주시 동강면,"2,395","1,480",          1.62,"1,187","1,208",          0.98
4617036000,전라남도 나주시 다시면,"3,555","2,159",          1.65,"1,790","1,765",          1.01
4617037000,전라남도 나주시 문평면,"1,907","1,210",          1.58,935,972,          0.96
4617038000,전라남도 나주시 노안면,"4,521","2,623",          1.72,"2,332","2,189",          1.07
